colony,tag_ID,group,obs_interaction_nurses,obs_interaction_cleaners,obs_interaction_foragers,obs_interaction_queen,exp_random_nurses,exp_random_cleaners,exp_random_foragers,exp_space_nurses,exp_space_cleaners,exp_space_foragers
21,296,F,0.0956229,0.221212,0.683165,0.00100908,0.479832,0.315082,0.205086,0.0751105,0.270021,0.654868
21,299,F,0.0678276,0.206713,0.72546,0,0.479832,0.315082,0.205086,0.0684331,0.297217,0.634349
21,311,F,0.144635,0.222881,0.632484,0.00177515,0.479832,0.315082,0.205086,0.062589,0.233482,0.703917
21,342,F,0.0774479,0.224996,0.697556,0.000674309,0.479832,0.315082,0.205086,0.0686071,0.281082,0.65031
21,380,F,0.114484,0.264151,0.621365,0.000708818,0.479832,0.315082,0.205086,0.101574,0.297645,0.60078
21,391,F,0.066913,0.241124,0.691963,0.000131961,0.479832,0.315082,0.205086,0.0702624,0.279189,0.650547
21,395,F,0.141798,0.267576,0.590626,0.000889152,0.479832,0.315082,0.205086,0.149993,0.332794,0.517212
21,397,F,0.203171,0.351358,0.445471,0.00227635,0.479832,0.315082,0.205086,0.236914,0.369434,0.393651
21,437,F,0.0663621,0.257514,0.676124,0.000480654,0.479832,0.315082,0.205086,0.0797299,0.302352,0.617917
21,458,F,0.0908884,0.184396,0.724715,0.000796631,0.479832,0.315082,0.205086,0.0599285,0.22754,0.712531
21,475,F,0.1037,0.286433,0.609867,0.000648719,0.479832,0.315082,0.205086,0.105846,0.301919,0.592235
21,476,F,0.0642217,0.159353,0.776425,0.000160128,0.479832,0.315082,0.205086,0.048033,0.212173,0.739793
21,509,F,0.0474517,0.131371,0.821178,0.000439174,0.479832,0.315082,0.205086,0.0323734,0.182416,0.785208
21,518,F,0.0568272,0.190213,0.75296,0.00105125,0.479832,0.315082,0.205086,0.0484451,0.230229,0.721323
21,530,F,0.043335,0.152813,0.803852,0,0.479832,0.315082,0.205086,0.0450505,0.224281,0.730665
21,538,F,0.110309,0.276289,0.613402,0.000721129,0.479832,0.315082,0.205086,0.1183,0.3304,0.551299
21,621,F,0.20412,0.394893,0.400987,0.00202693,0.479832,0.315082,0.205086,0.228188,0.374731,0.39708
21,632,F,0.0635143,0.226207,0.710279,0.000600721,0.479832,0.315082,0.205086,0.0631955,0.273876,0.662923
21,638,F,0.0562914,0.19426,0.749448,0.000735294,0.479832,0.315082,0.205086,0.0663858,0.262916,0.670696
21,650,F,0.156681,0.339299,0.504019,0.00347642,0.479832,0.315082,0.205086,0.176246,0.371241,0.452512
29,2,F,0.157074,0.43304,0.409886,0.00263927,0.473225,0.388221,0.138554,0.138967,0.43202,0.429012
