Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant24,Ant25,Ant26,Ant30,Ant38,Ant73,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant1,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant44,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant85,Ant91,Ant96,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant176,Ant178,Ant186,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant220,Ant221,Ant226,Ant229,Ant232,Ant238,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant398,Ant433,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant593,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,9,19,0,5,18,1,1,8,0,0,0,0,1,5,6,0,22,0,0,8,1,10,7,0,0,0,2,1,2,0,4,0,2,0,0,0,4,6,3,1,2,0,4,0,2,0,1,0,0,2,9,0,15,0,0,0,2,29,2,0,12,8,2,0,0,0,0,11,0,5,4,0,8,0,0,21,0,3,7,1,0,23,9,0,0,0,1,0,13,0,0,0,0,1,1,1,1,2,21,13,0,13,0,0,6,0,0,5,0,0,5,0,0,1,0,0,0,6,1,9,0,0,0,0,0,1,0,4,0,11,0,0,0,3,0,0,4,1,0,0,0,0,0,2,3,11,0,10,0,6
1,8,0,0,3,0,0,0,0,0,0,0,8,1,0,0,1,17,3,2,0,3,0,0,3,36,1,2,0,0,0,22,3,6,1,8,28,0,0,3,0,19,2,1,0,1,2,3,3,29,6,1,0,4,0,30,0,32,0,0,13,3,0,0,3,32,1,5,0,0,3,1,26,0,0,38,1,0,3,0,6,0,35,0,1,15,44,3,12,11,0,10,1,6,0,0,0,2,3,2,1,0,6,0,11,5,0,2,2,4,18,30,0,0,0,0,0,8,12,1,1,0,0,20,0,40,0,0,10,4,11,1,18,3,1,1,12,0,1,1,46,9,0,0,1,1,2,0,5,11,1,0
0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,1,32,3,5,0,0,4,0,0,34,0,5,0,0,20,15,0,0,0,7,29,0,0,0,0,21,0,0,0,0,0,2,0,7,0,0,0,0,0,30,0,19,1,0,20,2,0,0,0,31,1,0,0,0,0,11,27,3,0,72,1,0,73,1,0,0,33,0,0,111,15,1,14,0,0,24,0,9,0,3,0,1,2,0,0,0,0,0,9,6,0,0,12,0,12,48,0,0,0,2,0,2,60,0,0,0,0,3,0,54,0,0,91,0,6,1,59,0,0,0,4,13,0,30,42,12,0,0,1,1,0,1,7,16,2,0
7,9,14,1,3,3,10,16,2,6,0,1,0,0,19,10,1,1,9,0,0,3,24,3,28,0,17,16,4,16,28,1,0,13,13,4,4,1,6,10,2,2,0,1,3,11,4,18,17,0,0,13,2,2,0,1,5,3,0,0,4,3,13,6,2,4,1,0,0,0,0,11,5,4,9,6,2,9,0,1,2,0,1,7,11,2,2,12,1,4,14,2,8,5,0,4,5,10,17,14,2,18,2,13,5,4,13,7,0,8,3,7,2,0,11,11,1,6,9,0,15,3,3,4,0,3,27,3,1,14,3,6,0,1,22,10,0,17,14,6,0,3,16,2,9,6,9,12,18,7,2,0
17,8,1,0,7,7,10,1,2,1,1,0,3,19,0,7,7,0,10,3,7,4,18,6,12,0,10,28,11,9,10,5,10,10,9,14,0,17,4,9,7,5,1,0,12,12,4,19,10,0,8,3,0,7,3,1,0,15,11,6,14,26,17,11,14,2,10,11,10,15,16,33,2,3,0,5,6,6,4,0,2,8,8,5,9,7,2,26,16,21,5,6,14,2,1,5,3,11,7,11,2,8,16,2,13,19,8,3,2,8,4,3,2,4,5,13,4,18,15,6,6,0,3,13,4,0,5,0,1,15,22,13,0,13,12,9,7,18,4,22,2,16,5,2,22,17,16,5,9,16,7,6
0,2,1,0,3,3,3,4,1,1,5,0,0,10,7,0,1,0,4,0,0,2,1,8,3,0,1,2,1,14,1,0,1,0,1,0,0,0,0,0,0,1,1,0,3,1,4,3,7,0,4,6,4,1,7,0,0,2,0,0,0,1,9,7,1,0,0,0,7,16,0,7,1,0,0,0,1,3,0,3,12,0,0,3,4,0,0,8,0,6,1,0,8,0,0,0,2,6,5,13,4,5,0,1,3,0,9,2,0,2,0,0,2,0,0,1,0,0,0,2,13,0,1,0,2,0,2,8,0,5,2,4,0,4,1,2,0,0,3,1,0,1,10,1,1,5,1,5,0,0,1,0
0,11,1,0,12,2,1,6,0,1,6,1,1,1,7,1,0,0,1,14,8,0,7,1,5,1,4,0,8,10,1,0,20,0,5,2,1,5,1,8,2,2,0,0,1,2,3,2,1,0,1,0,0,8,0,3,1,2,1,0,10,6,6,1,19,0,0,10,0,1,30,8,11,0,0,17,7,2,0,9,1,4,0,0,2,3,0,12,2,16,7,0,7,7,0,0,0,4,3,18,0,0,7,0,5,17,0,2,18,1,2,3,0,6,18,4,0,6,0,0,3,0,0,19,2,2,6,0,1,5,3,3,0,5,3,6,6,7,3,20,0,0,2,0,5,15,8,5,0,7,0,5
0,0,0,0,0,0,0,0,0,0,0,17,32,1,0,0,0,0,0,0,0,0,1,0,0,26,0,1,0,2,0,17,6,5,0,2,33,3,0,1,0,36,0,0,0,2,0,0,0,42,5,0,0,1,0,33,0,17,1,0,7,7,1,0,2,10,2,1,0,0,0,3,13,9,0,56,8,0,24,0,0,0,44,0,0,19,34,0,20,0,0,13,3,10,0,1,0,2,2,0,0,0,0,0,9,0,0,0,4,0,16,31,1,0,2,0,0,3,39,0,3,0,0,17,0,66,0,0,31,0,16,1,34,0,1,1,0,0,0,7,81,7,0,2,4,1,2,0,0,10,5,0
2,15,7,0,20,3,17,4,3,9,22,3,3,9,10,4,1,0,0,1,0,8,17,16,6,2,8,6,12,11,0,3,3,2,10,3,2,3,2,11,9,0,0,2,6,3,6,8,9,0,1,10,0,4,3,0,0,10,3,5,2,3,13,4,1,4,1,15,1,2,0,16,2,3,3,2,5,8,0,6,0,0,0,1,2,4,1,6,0,17,12,1,10,0,8,3,5,5,7,22,5,5,1,3,4,2,20,29,2,5,1,0,4,2,3,5,4,3,4,7,14,0,13,1,2,5,4,1,0,2,6,12,0,9,20,7,3,12,22,8,0,0,6,7,6,9,4,24,7,5,8,8
4,29,1,1,0,0,0,2,0,5,0,2,5,0,3,0,14,0,1,0,9,1,7,1,2,3,2,8,5,3,8,6,6,1,1,12,2,10,7,5,3,2,0,0,2,6,3,9,0,0,0,8,1,9,0,2,5,7,1,0,10,25,0,0,39,1,16,15,8,0,60,20,1,1,0,11,2,1,3,0,0,0,0,0,3,7,2,9,7,5,3,10,3,5,6,2,0,11,1,20,1,4,15,0,7,8,1,0,15,1,7,6,0,4,5,11,1,4,18,0,4,0,1,10,1,1,9,1,0,5,19,3,0,5,4,6,26,2,2,21,2,5,3,8,11,4,13,0,0,19,1,0
