Ant57,Ant5,Ant52,Ant59,Ant929,Ant6,Ant25,Ant26,Ant30,Ant74,Ant99,Ant102,Ant148,Ant191,Ant196,Ant209,Ant245,Ant268,Ant308,Ant620,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant111,Ant113,Ant114,Ant126,Ant135,Ant139,Ant142,Ant156,Ant159,Ant169,Ant170,Ant174,Ant195,Ant198,Ant207,Ant218,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant376,Ant387,Ant391,Ant437,Ant492,Ant549,Ant580,Ant592,Ant607,Ant614,Ant632,Ant638,Ant650,Ant663,Ant665
17,0,3,0,3,7,0,3,0,0,25,12,0,0,1,3,0,3,0,4,5,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,5,19,0,0,0,6,0,0,0,0,0,0,0,7,1,0,0,0,1,1,5,1,3,0,0,2,1,0,3,10,0,25,9,0,0,0,0,3,0,0,1,22,0,0,0,0,9,0,0
3,1,3,9,5,3,0,12,6,0,3,3,0,9,4,3,8,6,3,0,6,7,6,3,7,7,8,2,4,14,5,0,12,1,0,0,1,0,5,1,20,18,13,5,0,0,1,0,3,0,6,6,0,2,3,7,0,0,12,0,0,10,1,2,1,14,12,0,3,3,10,5,3,1,17,24,6,4,1,6,10,1,6,4,4,8,7,7,9
1,7,6,4,1,1,6,1,3,6,0,0,0,4,5,1,2,0,3,0,0,6,2,0,1,1,19,3,0,3,0,12,0,8,1,0,12,0,1,6,1,2,1,8,0,0,3,0,1,0,0,10,0,2,0,0,0,0,4,2,1,3,3,22,1,1,11,1,0,3,10,0,0,9,11,1,10,2,6,0,4,0,11,1,0,2,1,2,9
0,0,7,23,2,1,31,0,3,10,0,1,0,15,2,5,9,6,28,0,1,9,7,4,7,12,16,10,2,24,0,1,8,0,2,9,22,1,23,21,2,4,3,4,0,0,3,0,2,10,2,13,3,0,5,4,1,3,9,5,1,29,3,4,10,16,7,1,1,1,2,14,0,5,15,23,51,1,1,3,6,5,6,0,3,10,9,3,20
0,1,0,0,0,1,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,11,0,0,0,0,0,0,1,2,0,4,28,0,18,14,0,0,0,2,0,0,0,0,0,26,1,0,3,0,0,0,1,0,22,0,0,1,0,11,0,0,5,0,0,0,0,0,0,25,0,10,2,0,0,0,0,0,10,0,0,4,0,0,5
1,8,1,5,2,0,2,4,3,22,1,1,2,8,5,6,9,4,6,0,0,7,3,2,10,1,8,4,7,5,0,0,0,9,4,0,0,1,4,0,3,0,3,7,1,0,2,0,1,14,2,16,2,0,0,0,0,0,5,3,1,7,0,1,0,1,8,0,0,1,0,0,0,10,5,0,1,2,4,0,8,0,2,2,0,4,5,4,12
2,5,3,54,3,0,0,3,0,8,1,0,0,17,2,0,1,2,0,0,2,32,0,2,1,2,11,4,0,4,0,1,12,22,28,0,0,0,17,2,0,2,1,43,0,0,5,1,0,2,1,102,1,0,0,6,30,0,35,4,0,38,0,27,0,2,21,0,0,0,8,0,0,62,5,13,9,0,0,0,5,0,4,0,0,0,0,0,8
0,3,2,1,30,2,7,18,0,3,2,1,4,5,5,5,6,16,8,0,0,4,11,1,0,4,1,7,2,11,0,0,0,1,0,1,0,0,3,3,83,0,13,1,5,1,0,0,10,1,4,5,6,1,3,9,0,5,8,0,8,1,5,1,0,2,9,7,2,2,0,1,0,2,0,1,0,25,2,9,12,4,0,9,47,0,40,1,1
3,1,9,4,10,3,28,24,5,2,1,6,2,3,2,2,22,9,36,0,0,2,11,5,15,8,2,5,1,12,1,5,1,23,18,4,17,3,0,2,20,0,11,3,3,2,2,0,5,13,4,2,3,4,13,14,0,6,11,13,0,6,2,8,16,5,4,5,1,9,4,8,0,12,4,4,17,0,7,8,5,6,5,0,6,9,31,3,6
0,17,4,8,1,2,3,0,7,9,5,0,1,15,15,4,6,0,4,0,1,6,0,4,7,4,11,3,0,15,0,1,6,21,14,0,2,3,2,0,6,0,3,9,3,0,0,0,4,2,7,18,3,0,2,3,3,1,9,0,2,11,0,6,11,1,1,0,0,0,2,0,0,3,17,6,14,4,11,3,18,0,4,1,0,16,9,3,1
77,1,4,2,29,16,10,63,3,2,21,7,6,5,11,14,4,16,9,9,26,2,9,14,3,1,1,4,14,18,5,20,1,2,0,3,0,83,20,6,0,12,56,2,14,0,5,3,19,9,9,2,16,10,58,25,4,6,24,8,45,1,20,0,9,4,4,17,19,32,1,26,5,0,5,2,8,19,7,22,7,33,2,51,59,5,28,85,7
15,0,0,1,12,8,0,39,1,2,9,3,0,5,1,5,1,0,1,1,52,7,0,22,6,6,2,1,1,4,19,18,2,4,0,0,2,0,0,0,12,0,3,8,0,2,0,4,0,0,6,0,6,8,0,7,0,0,7,2,7,1,8,3,0,2,2,21,6,13,4,7,2,0,0,1,2,3,0,6,0,5,2,4,0,1,16,12,2
4,1,6,5,15,5,3,7,3,8,1,2,13,1,4,8,23,20,11,0,0,3,19,18,8,0,6,3,5,7,0,13,1,3,0,3,1,13,11,3,56,3,0,7,7,1,0,0,3,9,10,1,3,7,1,10,2,25,11,0,3,0,3,1,5,4,2,17,2,11,4,2,2,0,6,0,11,21,6,7,16,4,15,3,2,6,49,7,11
2,25,2,8,2,1,9,9,10,6,2,3,3,19,5,5,1,1,0,0,8,18,3,3,0,5,3,30,7,17,0,5,8,4,2,7,43,1,3,9,2,8,7,0,0,0,11,0,7,2,3,22,1,3,2,7,0,5,14,3,0,5,0,28,9,12,5,1,1,4,1,4,0,10,10,0,3,17,4,0,22,4,8,8,1,0,5,2,3
0,0,0,0,19,0,1,14,0,0,4,40,0,0,0,0,7,3,2,0,0,0,8,1,0,0,0,0,5,0,0,0,0,0,0,1,0,5,3,3,14,0,7,0,0,0,0,0,1,0,3,0,4,0,33,6,0,22,3,0,11,0,2,1,0,1,0,3,14,2,0,1,0,0,0,0,0,10,3,34,1,7,0,10,3,1,45,2,0
9,0,0,0,0,9,0,10,0,0,17,7,0,0,0,0,0,2,0,26,2,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,6,0,7,0,1,0,0,0,0,10,0,0,0,0,1,0,12,0,1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0
2,6,2,6,2,1,0,16,5,11,2,0,1,17,0,0,6,6,0,0,28,19,0,3,3,0,7,5,1,5,0,1,3,3,0,2,5,0,2,0,5,0,0,11,0,0,0,0,0,0,1,11,0,0,0,14,5,0,13,14,0,9,0,15,2,2,33,0,1,2,15,3,0,2,0,11,5,2,12,0,0,1,25,0,0,4,5,0,1
1,1,0,0,1,2,0,0,0,0,4,18,0,0,0,0,0,0,0,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,1,0,0,0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,1,0,0,2,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0
0,1,7,3,19,5,5,5,10,3,0,1,2,12,8,2,4,10,5,0,1,2,16,2,1,0,8,3,4,19,0,3,1,2,0,1,0,10,5,4,19,0,3,7,1,0,0,1,0,0,3,2,6,0,3,5,3,3,8,1,10,2,1,2,7,7,5,0,0,12,2,2,1,0,8,0,2,3,7,2,15,8,0,11,13,3,13,4,3
2,0,1,2,5,1,6,4,5,11,0,1,0,2,3,3,4,5,10,0,0,3,3,10,5,8,9,9,4,4,0,0,0,10,26,14,2,1,13,2,9,0,9,2,0,0,0,0,0,0,6,10,1,0,5,5,0,2,14,0,0,1,0,11,12,1,1,0,0,1,8,12,0,3,9,7,1,2,8,0,5,1,7,2,2,12,8,0,20
5,7,3,0,16,5,2,8,1,2,9,2,59,5,15,7,3,7,1,0,5,11,2,4,2,1,3,4,1,40,0,6,0,2,1,2,1,4,4,7,9,6,10,3,3,0,1,0,3,6,0,0,11,0,6,12,1,3,6,0,12,3,3,1,7,17,4,6,2,3,3,11,4,5,9,0,3,6,4,5,10,0,3,6,2,5,10,3,8
2,11,4,23,2,2,1,1,21,4,0,2,0,3,0,7,0,8,8,0,6,12,2,3,2,8,24,7,1,2,0,6,10,13,0,16,102,5,2,18,2,0,1,22,0,0,11,0,2,10,0,0,0,0,1,4,0,1,3,0,0,46,0,2,3,10,2,0,0,1,15,7,0,15,3,4,8,0,19,0,23,0,13,1,2,9,3,0,2
10,0,0,0,8,3,8,6,1,0,9,2,10,4,6,0,7,3,4,0,19,13,8,1,2,2,0,1,3,7,0,0,0,3,3,2,1,6,3,3,16,6,3,1,4,0,0,2,6,1,11,0,0,0,1,3,0,5,1,3,9,0,5,0,0,6,1,18,4,12,0,11,0,0,7,1,2,0,1,15,9,0,3,11,6,0,12,9,0
11,2,1,0,3,32,1,17,1,0,21,14,1,3,1,2,8,5,0,15,18,1,2,2,2,0,0,1,0,0,7,2,2,0,0,0,0,1,4,0,10,8,7,3,0,6,0,14,0,0,0,0,0,0,2,5,0,1,0,0,2,4,19,0,3,0,2,7,46,16,1,18,17,0,2,0,0,5,2,0,1,20,0,1,0,2,10,2,2
0,0,0,0,37,2,10,18,1,0,1,27,2,2,1,13,4,11,0,0,2,2,6,2,0,2,1,1,3,7,1,3,0,5,0,0,0,3,13,2,58,0,1,2,33,0,0,0,3,5,6,1,1,2,0,2,0,24,3,0,2,0,11,0,1,1,0,0,5,6,0,10,0,0,0,0,5,12,1,39,2,1,0,8,1,0,50,1,1
21,4,6,0,24,8,8,35,8,4,16,1,11,4,8,3,16,29,7,0,38,6,7,12,1,1,3,5,7,9,0,7,0,4,0,0,6,9,14,3,25,7,10,7,6,7,14,0,5,5,12,4,3,5,2,0,4,2,28,6,5,13,4,2,3,11,4,16,2,19,0,3,3,0,4,6,1,28,15,18,19,12,10,14,15,8,14,17,25
0,2,8,3,3,0,0,4,0,13,0,0,0,2,4,0,3,0,4,0,19,12,0,1,2,0,16,1,2,2,0,0,0,1,1,0,30,0,0,3,4,0,2,0,0,0,5,0,3,0,1,0,0,0,0,4,0,1,14,4,0,7,1,11,1,0,15,1,0,2,0,0,0,6,6,5,0,2,0,2,6,0,9,0,4,11,4,0,11
