Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant99,Ant102,Ant148,Ant158,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant311,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant97,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant212,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant301,Ant305,Ant313,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant507,Ant509,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
21,16,3,0,16,0,12,18,9,0,31,7,7,30,9,41,1,12,12,26,20,2,0,0,12,0,0,5,1,5,4,47,0,1,10,1,0,0,76,0,2,0,7,11,13,18,6,14,12,1,12,4,5,24,14,12,2,3,0,0,8,65,9,0,0,0,7,19,0,0,32,0,0,0,2,0,5,28,13,2,6,3,6,41,23,14,0,5,17,12,7,0,1,10,5,3,12,0,2,1,11,11,5,0,5,18,0,0,0,5,12
17,8,2,6,5,0,14,10,26,4,0,10,15,13,8,1,5,10,4,27,21,15,0,12,0,2,7,37,19,7,12,12,0,3,18,13,0,0,34,1,3,0,8,13,1,10,20,12,2,3,2,14,8,12,9,33,8,8,0,0,50,14,11,8,0,0,0,12,0,0,8,5,5,3,13,0,13,15,7,10,12,11,8,35,20,8,11,7,23,0,0,2,15,4,1,10,23,4,2,2,5,29,11,7,6,22,0,0,0,10,4
6,21,0,0,0,0,24,10,7,0,0,10,5,0,5,0,1,6,2,0,0,27,0,0,2,0,10,6,2,1,2,5,0,0,8,3,0,2,8,36,0,18,4,25,8,4,2,14,1,1,0,5,2,0,17,0,0,18,0,0,4,5,21,0,1,0,51,6,0,0,0,4,0,1,8,0,0,0,14,1,7,2,0,3,16,4,1,21,1,10,2,0,2,26,3,1,6,0,2,1,0,4,29,3,2,1,0,0,0,21,5
4,0,0,0,0,17,3,9,21,16,0,4,0,8,10,0,35,1,0,0,1,12,68,0,7,10,0,4,15,14,0,0,31,9,1,10,1,2,0,4,9,3,1,23,0,1,1,15,0,21,0,18,0,0,3,0,0,2,13,14,9,4,1,7,18,19,0,3,10,42,0,3,11,10,20,5,0,2,0,5,0,7,0,2,5,4,16,17,4,0,0,1,34,1,0,1,0,20,0,3,0,0,1,41,4,4,4,10,0,1,2
25,14,0,9,13,18,42,20,43,8,2,12,5,18,28,8,16,9,8,19,40,16,7,5,37,6,4,0,28,15,20,13,9,15,9,12,6,16,13,5,25,2,19,6,8,7,5,16,5,21,3,22,5,13,8,10,22,11,6,21,16,4,7,17,11,23,7,26,11,7,9,14,15,8,13,22,16,17,6,8,12,17,7,9,3,26,34,4,12,5,7,11,27,2,5,5,8,15,19,5,1,14,24,14,19,66,2,3,0,20,14
6,7,3,6,2,0,16,1,25,1,2,4,5,6,24,2,9,3,3,2,22,4,0,1,19,2,15,28,0,14,8,4,0,3,1,2,0,8,11,0,7,0,1,0,0,5,3,18,2,8,3,22,2,3,9,3,10,8,0,1,20,20,6,12,2,0,1,22,8,0,1,5,1,17,10,2,4,14,1,19,7,20,10,8,15,15,17,1,10,2,3,8,18,4,1,1,2,3,10,3,0,13,8,12,5,28,0,0,0,2,0
1,1,0,6,1,0,9,2,11,2,0,5,0,0,0,0,1,3,0,1,16,2,1,5,7,1,14,15,14,0,11,4,0,9,1,11,0,10,0,0,0,0,1,0,0,6,2,13,1,11,1,8,1,0,4,1,9,0,0,1,54,1,7,14,8,2,1,17,0,0,9,4,1,2,15,0,3,3,1,18,3,3,0,13,1,7,16,0,4,3,0,6,7,1,0,0,4,7,5,6,0,4,9,29,4,21,3,0,0,3,1
16,6,3,1,3,0,15,17,5,1,3,9,0,11,5,33,0,8,16,7,9,1,0,4,12,2,0,20,8,11,0,24,0,3,11,2,0,1,4,0,1,0,15,1,2,5,16,3,1,0,12,2,6,23,11,4,10,14,0,0,9,28,5,0,0,0,1,15,0,0,6,5,2,1,0,0,10,6,16,0,14,0,5,5,9,2,2,2,6,6,10,7,0,0,10,1,6,0,5,1,19,5,8,0,10,14,0,0,0,1,7
21,33,18,7,19,0,5,1,0,0,18,15,8,29,21,23,0,6,31,6,13,4,0,47,12,5,0,13,4,4,24,0,0,2,14,2,0,0,57,1,0,0,31,11,5,18,51,7,11,1,12,7,11,38,27,72,6,22,0,0,17,35,34,3,0,0,2,27,2,0,27,13,1,1,2,0,19,34,18,6,17,14,32,17,1,3,0,2,5,16,26,4,0,7,3,21,26,6,7,6,23,45,25,10,4,19,0,0,0,11,23
0,0,0,0,0,27,0,0,0,34,0,0,0,0,0,0,34,0,0,0,0,0,16,0,0,0,31,9,0,0,0,0,0,12,0,0,24,37,0,0,10,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,11,32,0,0,0,13,109,38,0,0,40,25,0,0,2,0,22,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,45,0,0,0,0,20,0,14,0,0,0,51,0,0,39,30,0,0,0
4,0,2,4,2,28,2,1,1,16,0,4,1,3,4,0,10,2,6,1,16,9,5,1,3,0,9,15,3,9,3,2,12,0,2,6,2,5,3,1,11,0,4,0,0,2,0,5,3,9,3,11,0,2,3,1,8,4,4,20,16,7,21,6,17,9,1,5,9,6,1,2,4,3,9,20,2,0,0,4,2,3,2,2,0,5,15,3,3,0,0,6,17,0,3,0,1,24,3,7,0,7,8,21,5,7,0,1,0,0,0
10,0,2,0,18,0,3,4,2,0,13,7,8,10,11,20,0,3,14,3,3,0,0,10,18,8,1,9,1,1,11,14,0,2,0,6,0,0,16,24,3,2,3,7,11,18,16,0,3,0,25,10,13,15,0,12,4,32,0,0,4,17,2,0,0,0,2,14,0,0,9,0,0,0,2,0,3,24,12,2,31,2,24,6,12,3,5,15,8,7,5,1,3,5,6,12,14,0,2,2,7,9,1,0,0,3,0,0,0,15,6
10,1,0,0,1,0,8,2,17,1,0,4,6,13,4,0,5,1,10,1,1,10,0,1,13,3,10,12,2,11,2,2,0,6,6,0,0,3,3,0,0,1,1,11,11,2,1,13,0,0,2,4,1,3,1,3,2,1,0,1,11,2,5,8,1,1,1,6,0,0,0,0,0,14,16,2,1,0,0,2,0,4,0,6,0,12,23,6,5,0,2,1,65,4,2,0,0,5,1,7,0,5,16,16,1,23,13,0,0,3,1
0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,24,2,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,16,0,0,0,6,29,10,0,0,6,7,0,0,4,0,3,14,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,0,0,0,0,6,0,1,0,0,0,9,0,0,1,8,0,0,0
8,0,0,1,0,23,4,2,2,16,0,0,0,0,6,0,13,0,0,0,2,0,19,0,0,2,2,16,8,10,1,0,37,5,0,3,4,0,0,0,3,0,0,0,0,1,0,9,0,28,0,4,0,0,1,2,3,2,18,68,3,1,0,8,32,8,0,2,28,27,5,6,13,1,9,23,0,1,1,1,0,1,0,1,0,2,6,0,0,0,0,0,13,1,0,0,0,14,0,7,0,1,0,31,3,2,1,20,0,2,1
39,41,30,7,24,0,13,22,2,2,13,20,32,34,17,20,0,22,10,9,7,6,0,76,34,8,0,13,11,0,4,57,0,3,16,3,0,0,0,3,4,0,13,29,14,20,22,7,6,1,6,3,15,43,13,28,3,7,0,0,18,35,5,0,0,1,23,27,0,0,3,1,0,3,4,1,20,16,23,2,27,7,45,32,33,8,0,9,10,28,12,0,0,6,9,19,45,0,8,2,6,20,10,1,8,4,0,0,1,13,44
5,10,1,0,0,0,1,2,9,0,0,7,9,18,6,0,0,15,0,1,1,0,0,0,1,36,4,5,0,0,0,1,0,1,24,0,0,0,3,0,14,24,0,26,4,10,0,7,0,3,3,2,0,0,2,10,0,13,0,1,0,6,1,2,0,0,19,0,0,0,1,0,0,1,15,0,0,5,2,2,0,0,0,0,12,0,0,27,5,0,4,0,5,24,0,4,1,0,0,0,0,3,1,0,6,0,0,0,1,34,2
