colony,tag_id,body_size,age(days),nb_foraging_events,group_period1,group_period2,group_period3,group_period4,visits_to_brood,visits_to_nest_entrance,visits_to_rubbishpile,nb_interaction_nurses,nb_interaction_cleaners,nb_interaction_foragers,nb_interaction_queen
21,97,152.971,40,0,N,N,N,N,750.455,1.36364,1.54545,1070.4545,165.90909,64.545455,19.82
21,105,169.614,64,0,N,N,N,N,417,2.45455,0.727273,628.72727,190.90909,98.545455,23.73
21,115,168.181,40,0,N,N,N,N,598.364,1.81818,6.90909,563.54545,210.18182,104.63636,25.73
21,131,136,40,0,N,N,NA,NA,300.273,7.72727,1.81818,470.18182,116.45455,43.454545,9.909
21,137,207.039,50,0,N,N,N,N,344.636,1.81818,2.54545,560.27273,121.09091,66.818182,31
21,158,201.693,40,0,N,N,N,N,215.364,0.454545,0.545455,473.72727,235.45455,147.45455,11.73
21,159,196.848,50,1,N,N,N,C,21.7273,0.636364,1.72727,413.54545,136.18182,48.363636,52.09
21,172,196.084,197,0,N,N,N,C,202.818,0.909091,0.0909091,409.90909,279.45455,156.18182,6.364
21,175,151.397,40,0,N,N,N,F,497,0.818182,0.272727,421.63636,165.72727,74.090909,1.636
21,178,190.318,57,0,N,N,N,N,73,0.727273,1.18182,487.54545,152.27273,49.636364,29.73
21,191,167.296,40,0,N,N,N,N,415.727,0,3.45455,570.72727,161,65.090909,19.18
21,206,152.086,40,0,N,N,N,N,32,0.0909091,2.81818,635,164.36364,53.636364,21.09
21,212,137.441,40,0,N,NA,NA,NA,428.727,4.45455,2,561.18182,201.72727,101.54545,9.818
21,217,174.244,14,0,N,NA,NA,NA,341.091,2.54545,1.45455,407.72727,119,37,11.82
21,219,159.289,40,0,N,N,N,N,121.818,1.54545,2.45455,620.81818,148.81818,61.818182,23.45
21,242,161.245,50,0,N,N,N,N,350.364,0,0.272727,587.72727,86.363636,29.727273,8.455
21,244,151.427,40,0,N,N,N,N,301.909,0.909091,2.18182,414.45455,108.54545,42.818182,13.82
21,264,133.36,14,0,N,N,N,N,427.091,0.636364,1.09091,500.81818,73.727273,21.545455,7.636
21,289,158.446,40,0,N,N,N,N,81.8182,3,2.18182,408.27273,95.090909,30.727273,22.45
21,301,178.539,99,0,N,N,N,C,318.455,4.72727,0.909091,385.45455,226.54545,101.63636,8.545
21,308,155.077,71,0,N,N,N,NA,59.0909,0.272727,0,379.63636,198,95.545455,3.455
21,329,177.924,57,0,N,N,N,N,487.545,0.0909091,0.909091,521.72727,87.454545,41.181818,14.64
21,334,173.416,57,0,N,N,N,N,139.091,0.727273,0.181818,464.54545,149.36364,59.181818,9
21,347,177.133,40,0,N,N,N,N,255.455,1.45455,0.363636,483.27273,94.181818,52.454545,20.36
21,356,163.218,5,0,N,NA,NA,NA,405.273,0,0.0909091,353.18182,166,96.454545,1.909
21,390,179.424,57,0,N,N,N,C,43.4545,0,0.636364,461.72727,201.45455,66.272727,14
