Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
1,19,3,1,0,0,1,6,3,4,1,1,5,1,3,5,4,16,1,3,6,6,22,0,14,9,4,7,0,0,3,0,0,9,6,7,2,10,26,2,26,2,2,26,0,7,3,11,3,8,2,12,11,6,2,19,6,2,1,13,1,16,4,0,8,3,1,25,5,3,8,0,19,1,4,8,13,8,11,0,6,11,13,1,1,10,6,1,0,7,14,9,1,25,7,11,5,3,12,18,0,16,6,9,2,0,3,1,0,0,0,2,3,14,0,26
2,3,0,0,19,7,3,0,0,5,3,4,2,29,9,5,4,0,1,2,2,0,7,0,3,4,3,17,0,0,1,0,0,2,13,2,7,1,16,4,1,8,0,5,0,5,12,1,4,1,8,0,15,10,11,6,2,2,3,3,3,3,1,13,13,8,9,2,6,0,21,1,11,11,5,13,2,7,3,0,1,0,22,11,3,0,0,5,22,6,13,2,2,0,16,7,0,15,7,0,0,0,9,0,2,0,4,4,0,3,3,10,6,0,0,14
8,9,5,6,0,11,2,3,18,2,8,12,3,2,0,1,0,8,6,7,1,19,5,0,4,4,5,0,0,1,9,9,2,0,10,8,0,0,1,0,15,0,0,9,3,2,0,3,0,10,1,11,3,8,5,4,5,8,1,6,10,18,0,2,3,3,1,3,1,2,1,5,4,0,3,2,17,1,2,0,14,9,8,1,0,4,12,0,1,1,4,12,0,12,4,0,18,0,4,11,12,7,1,12,5,2,0,1,0,2,0,0,2,7,10,6
6,20,12,5,0,16,2,6,3,5,2,3,12,3,30,2,0,8,4,0,1,14,10,0,10,1,16,4,0,0,2,6,13,10,0,18,4,1,7,3,7,2,1,10,0,7,5,5,0,12,1,11,7,9,6,7,2,10,8,11,3,7,1,11,5,7,1,7,27,14,2,5,5,2,6,14,10,0,10,0,3,14,13,0,6,3,1,7,6,8,2,4,0,20,10,5,9,1,11,12,0,6,4,18,8,2,0,1,2,3,0,3,1,14,3,15
2,26,5,0,2,9,3,2,0,0,16,4,4,3,6,6,1,6,12,10,7,11,4,0,3,16,10,1,0,1,6,7,2,8,18,0,8,2,7,7,1,7,7,9,0,15,0,3,3,4,7,7,9,14,3,11,1,2,12,5,1,4,5,4,16,6,2,3,2,14,8,4,18,7,0,15,9,2,7,0,3,31,3,4,0,4,6,10,2,15,3,14,1,4,5,3,3,2,7,3,0,4,2,5,0,0,6,1,1,7,11,1,14,6,0,18
0,6,0,0,5,1,1,1,0,2,3,0,2,6,7,13,4,1,0,30,10,1,0,0,0,1,3,3,0,2,0,2,7,0,4,8,0,8,8,3,3,7,18,3,0,1,4,0,10,2,8,1,7,15,11,7,4,5,19,0,1,4,2,1,11,1,4,0,1,0,6,0,10,11,1,2,0,2,5,0,0,1,4,8,12,0,1,7,5,7,6,0,2,0,0,2,1,6,0,4,0,2,3,3,0,0,2,7,0,3,3,6,0,0,3,10
0,6,15,0,10,13,0,0,0,6,0,1,2,7,24,6,4,0,0,3,0,1,11,0,3,2,2,9,0,17,3,10,1,0,1,2,8,0,15,1,2,15,11,6,0,7,35,0,12,7,4,5,3,23,1,6,2,0,6,1,0,2,9,6,0,12,10,0,9,0,19,1,1,4,1,3,4,11,5,0,0,1,2,2,0,0,3,11,2,8,14,0,3,0,4,3,0,13,0,0,0,0,3,2,0,0,0,2,1,7,8,5,6,3,1,4
1,7,13,0,10,5,4,0,0,5,6,1,0,13,15,18,6,0,1,6,14,1,15,0,10,1,16,10,0,2,3,26,16,1,7,7,8,15,0,5,1,9,1,4,0,9,6,1,1,1,8,1,13,6,11,4,4,1,24,5,0,5,19,1,20,1,10,2,8,1,4,1,10,17,19,19,3,7,12,0,0,1,17,3,3,1,4,11,2,27,14,1,1,3,24,6,1,3,5,0,0,5,9,1,2,0,2,4,1,0,0,8,6,0,3,11
0,7,0,1,2,2,4,0,0,0,0,0,0,6,7,2,0,0,1,3,1,0,4,0,2,1,3,10,0,18,0,2,4,0,3,7,3,1,5,0,0,6,10,8,0,2,3,0,2,0,2,1,1,4,2,4,1,0,14,2,0,0,9,2,4,6,1,0,0,0,0,0,1,0,2,6,0,0,6,0,2,3,0,5,5,0,1,5,6,1,5,0,5,0,15,11,3,9,0,0,0,0,0,3,0,0,8,4,2,2,0,0,10,0,0,10
9,25,3,3,1,6,3,21,48,4,1,3,12,2,3,0,0,8,6,1,4,8,22,0,13,12,2,0,0,0,11,26,1,15,7,1,3,2,1,0,0,0,4,19,10,7,0,13,0,16,1,17,2,1,1,4,5,12,9,5,7,16,0,5,1,4,0,19,0,18,0,7,11,1,2,8,15,1,17,0,8,20,11,0,0,12,13,3,3,0,2,20,1,26,8,6,13,1,6,9,24,19,0,39,3,6,2,0,0,1,0,1,4,13,11,18
