Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
3,11,3,5,1,2,12,13,0,2,1,0,0,8,4,10,0,0,0,0,0,0,19,17,1,1,0,0,0,5,0,0,0,0,21,0,1,0,3,0,8,0,0,3,13,0,0,23,0,18,4,0,0,10,0,1,16,0,0,0,0,1,17,0,0,7,12,0,1,0,0,1,4,1,0,1,13,23,0,7,15,0,9,0,20,0,0,4,1,8,4,8,0,0,0,0,0,7,0,0,0,5,0,3,0,1,10,0,10,12,4,3,10,0,15,0,0,0,0,2,12,0,8,3,8,4,0,0,2,11,9,0,2,0,21,3,1,19,0,0,5,2,0
0,28,1,9,5,1,20,21,0,0,0,2,1,6,10,24,0,0,0,2,1,0,27,14,1,0,0,0,1,3,0,0,0,0,27,1,5,0,12,0,21,1,1,3,23,2,6,9,18,0,13,0,1,23,0,3,3,0,1,1,0,1,0,0,0,5,14,0,8,4,1,5,4,1,0,5,31,8,0,12,14,1,22,0,8,0,1,2,6,6,3,17,1,1,0,0,0,13,0,8,0,0,5,2,0,11,5,3,5,7,17,3,10,0,9,0,0,0,0,6,12,0,9,3,30,8,0,1,0,20,10,2,5,1,39,8,3,26,0,1,10,3,0
2,11,2,24,0,7,3,8,0,7,1,3,0,4,2,48,0,0,0,0,1,7,33,10,0,5,0,0,6,3,1,0,0,0,17,0,0,0,5,0,5,1,0,4,33,1,4,13,4,13,0,1,2,7,0,0,1,0,4,0,3,2,1,0,1,14,9,0,3,0,5,1,10,5,0,2,20,5,1,11,15,0,28,0,10,1,5,0,4,2,5,6,0,0,6,0,2,16,0,2,1,8,7,12,2,9,14,0,20,11,6,2,7,0,4,0,5,0,2,3,4,0,15,5,17,0,0,2,0,8,10,2,2,3,15,7,2,19,1,2,3,4,0
15,0,6,0,36,0,0,0,19,0,0,1,6,0,0,0,6,21,29,2,23,7,0,1,3,3,24,29,7,0,1,4,5,4,0,45,0,15,0,5,0,3,3,1,0,25,1,2,0,0,1,0,10,0,25,2,0,16,0,3,41,19,1,21,0,1,1,8,0,8,2,36,0,3,9,0,0,0,16,2,0,15,0,24,0,13,12,0,6,0,2,0,9,0,17,49,19,0,7,1,4,2,2,2,5,0,0,0,0,0,0,0,0,6,3,0,5,5,1,0,0,8,2,0,0,0,4,13,22,0,0,1,0,12,0,0,2,0,2,1,0,0,21
31,0,25,1,9,3,0,1,8,21,5,0,14,0,1,0,6,3,1,20,7,16,1,1,13,25,1,20,10,1,11,5,16,9,0,9,5,18,3,6,0,2,14,2,2,48,5,2,0,1,2,10,0,0,6,0,1,1,9,7,25,9,19,20,12,2,0,0,5,3,16,13,2,17,2,3,0,0,5,12,0,21,2,39,0,10,2,0,4,8,5,1,19,9,16,14,15,0,27,12,4,9,19,3,11,1,1,1,0,1,1,0,1,4,2,0,21,13,5,12,1,7,3,4,1,0,11,42,6,1,0,4,2,9,0,4,6,2,4,23,0,4,16
0,11,0,0,0,0,0,8,0,0,0,0,0,2,0,6,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,10,0,0,0,10,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,22,32,0,1,1,0,19,0,1,0,0,0,0,1,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,10,4,0,0,0,0,0,0,0,0,0,0,13,0,0,0,7,8,0,0,0,4,0,0,0,0,48,0,0,0,0,0,3,0,0
8,2,5,2,8,16,0,0,7,0,2,0,6,0,6,0,24,7,2,21,5,3,1,1,3,4,2,10,3,0,11,13,1,27,4,3,0,2,0,0,0,25,15,2,1,13,15,3,0,0,0,25,6,0,0,0,0,1,0,3,3,3,7,13,0,0,0,19,2,0,8,14,0,2,1,0,0,0,4,2,0,25,3,1,1,2,6,0,0,0,14,0,0,0,5,16,4,0,10,9,2,0,5,2,3,5,0,4,0,0,1,0,8,7,5,0,7,3,5,4,0,9,1,24,1,0,0,9,4,0,11,3,1,1,0,25,1,5,1,23,1,5,9
4,0,0,0,1,0,0,3,0,1,0,8,2,0,2,13,0,2,0,1,0,8,5,4,15,3,0,6,0,8,2,0,0,0,2,0,28,0,2,0,0,1,1,5,1,3,0,7,1,3,0,2,0,0,0,0,4,0,8,0,0,9,10,0,2,7,3,0,13,1,0,0,7,5,1,19,0,3,2,7,2,0,13,0,10,0,2,5,3,4,12,9,0,4,2,0,15,1,0,10,0,3,7,33,0,33,3,0,2,3,11,11,0,0,8,0,3,2,1,9,3,0,2,0,3,0,0,3,0,0,2,0,6,3,0,0,17,0,0,21,5,0,7
3,8,1,6,3,11,13,2,0,4,3,9,0,0,21,18,0,0,0,0,1,0,75,2,0,6,0,2,0,7,7,1,0,0,4,3,12,0,8,0,0,6,1,20,6,1,6,7,16,3,1,0,1,0,0,4,0,4,2,1,0,1,4,0,1,23,7,0,9,1,14,2,17,9,0,2,0,1,0,2,0,0,5,0,8,0,1,20,7,7,6,2,3,1,1,0,0,5,0,5,4,1,8,8,0,5,8,1,1,3,15,3,14,0,11,0,0,0,0,6,5,0,11,8,11,0,0,19,3,1,7,0,38,1,0,61,10,10,2,0,1,5,0
15,0,1,0,14,0,0,0,40,0,1,0,7,0,0,0,17,11,13,5,6,11,1,0,0,5,48,3,0,0,1,8,8,14,0,9,0,9,0,5,0,0,24,0,0,4,5,0,0,0,0,16,1,0,1,0,4,0,2,6,18,4,1,43,8,0,0,5,0,4,0,23,0,8,24,0,0,0,38,7,0,25,2,8,0,16,0,0,0,0,0,0,2,3,11,13,19,0,21,1,3,4,1,2,50,2,0,0,0,0,0,8,0,22,2,0,0,5,11,0,0,6,0,0,0,0,3,11,4,0,0,10,0,10,0,2,7,0,2,4,0,0,32
