Ant57,Ant260,Ant52,Ant397,Ant929,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant60,Ant64,Ant74,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant229,Ant232,Ant242,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant326,Ant331,Ant332,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant458,Ant492,Ant501,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
5,14,3,9,0,7,7,0,15,8,20,1,0,1,1,0,1,0,15,11,5,14,19,13,14,15,12,11,12,23,11,12,0,0,13,11,6,6,18,16,5,11,4,3,8,5,1,6,0,13,8,20,2,2,15,1,23,0,0,22,4,7,4,17,8,17,6,3,0,0,5,3,5,12,0,16,3,6,6,1,0,8,10,7,8,4,12,3,13,26,0,0,7,10,0,1,0,14,22,2,22,4,14,0,7,4,0,5,6,1,9,5,6,6,0,2,9,5
0,39,0,5,0,0,26,0,0,0,1,0,22,25,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,1,1,0,37,0,0,1,4,0,0,1,12,13,0,0,10,0,1,0,0,0,1,0,0,0,0,1,23,0,0,0,0,0,1,0,0,32,47,0,0,0,0,10,0,39,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,29,1,3,3,0,1,0,1,0,0,0,0,3,11,0,0,0,0,1,0,2,3,2,0,0,12,0,0
6,2,16,1,19,3,1,28,0,5,6,30,2,0,40,37,11,0,3,0,7,9,3,3,7,9,3,16,6,4,17,5,0,0,5,3,5,4,1,13,2,0,1,3,4,1,32,1,12,3,15,12,9,27,11,16,4,2,16,2,1,12,0,8,7,4,0,1,5,0,0,4,1,3,0,3,8,17,14,44,0,17,1,12,3,3,2,9,4,2,0,3,1,6,0,7,0,1,5,6,7,6,2,3,1,12,10,15,2,7,3,2,4,0,5,3,7,7
14,2,7,1,10,1,3,0,5,18,3,41,1,0,13,5,12,0,1,2,3,9,6,5,2,9,12,22,12,4,11,0,13,0,8,0,0,11,3,9,3,1,0,6,7,0,12,2,2,6,5,3,13,28,13,1,2,0,10,10,0,11,5,26,5,0,1,2,3,0,4,0,0,12,0,6,11,12,6,18,1,26,3,0,9,2,5,1,9,21,0,5,0,13,0,0,0,12,18,0,12,0,3,0,2,6,8,1,1,10,2,2,0,6,1,1,11,17
1,39,3,23,2,15,29,0,5,1,8,0,14,11,0,0,0,1,43,10,2,6,7,6,14,1,0,0,0,9,7,26,0,7,2,7,15,13,3,4,15,21,13,7,0,11,1,7,0,12,2,6,0,0,0,0,15,15,0,24,2,0,12,0,0,8,8,26,5,10,1,0,0,1,9,5,0,0,1,0,7,0,1,1,6,5,15,0,13,11,9,8,5,11,0,13,2,6,5,1,2,0,23,1,1,0,0,0,9,2,7,7,10,2,0,22,5,0
2,1,2,0,0,1,0,0,3,5,0,0,0,1,0,1,2,1,0,0,0,2,3,3,0,0,23,0,12,0,3,4,1,0,5,2,2,2,5,2,0,4,0,9,2,0,4,5,0,1,3,4,4,27,2,27,1,0,4,2,1,12,2,6,1,0,0,0,12,0,3,12,1,0,0,16,5,2,13,0,1,12,2,2,3,2,6,3,3,6,0,0,1,3,4,0,0,1,7,0,2,1,2,0,0,1,15,4,0,0,0,2,3,41,0,0,1,5
0,59,0,3,0,0,67,0,0,0,0,0,40,28,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,4,0,1,0,49,0,0,0,12,0,0,0,22,11,0,0,14,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,4,0,0,0,60,51,0,39,0,0,9,0,0,0,0,0,0,0,47,0,0,0,0,0,6,0,0,0,37,3,0,11,0,0,0,0,0,0,0,0,5,7,0,0,0,0,4,0,8,1,0,0,0,35,0,0
22,5,3,0,8,0,6,0,9,1,1,8,1,1,5,1,1,7,1,8,1,24,0,21,5,1,16,6,10,10,11,5,1,7,5,2,0,23,2,14,10,12,2,18,11,0,8,0,10,3,26,23,17,16,10,11,5,0,3,8,5,6,10,17,3,0,3,3,16,0,3,6,5,16,0,0,7,4,19,0,0,10,33,8,2,2,17,2,16,6,0,0,0,5,3,0,0,0,2,6,8,1,11,0,3,6,22,1,0,9,6,8,5,17,0,3,4,15
13,5,0,0,4,0,0,0,2,21,0,1,0,3,1,6,1,5,4,0,1,2,8,2,10,8,4,6,1,3,9,2,2,0,39,13,0,1,8,5,1,3,2,1,12,0,11,0,1,1,11,8,0,28,7,6,0,0,4,6,2,3,2,1,1,0,0,0,3,0,8,11,0,5,0,7,0,1,0,1,0,7,5,5,5,0,4,17,5,4,0,4,0,2,1,0,0,1,13,8,18,3,4,0,7,19,14,7,4,0,1,10,13,4,0,0,6,12
1,0,3,4,1,1,6,0,9,3,1,2,0,0,4,1,0,2,3,8,2,10,2,3,3,6,5,8,5,15,9,4,1,0,8,3,2,3,5,27,4,2,0,5,14,0,2,2,1,4,7,7,7,3,28,3,4,0,3,4,0,0,2,10,11,2,1,0,6,0,17,12,0,2,0,4,1,0,3,4,1,3,8,4,2,9,7,3,13,3,0,1,0,3,4,0,0,0,10,1,4,3,2,0,15,8,7,6,0,0,2,2,5,2,1,0,3,9
